Gen;Location;Block;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Sedimentation;Falling_number;Crude_protein
BRISONr_179;QLB;B1;65.00;49.27;388.08;1282.72;27.84;31.77;696.00;52.00;142.00;15.25
BRISONr_180;QLB;B1;84.00;83.27;705.60;1792.80;33.17;32.53;688.00;40.00;387.00;13.46
BRISONr_181;QLB;B1;73.00;53.91;414.40;1226.32;27.58;34.17;592.00;42.00;332.00;14.01
BRISONr_182;QLB;B1;66.00;39.66;312.48;1054.32;31.45;36.73;652.00;52.00;116.00;15.16
BRISONr_183;QLB;B1;68.00;57.29;494.96;1285.44;24.83;26.80;716.00;47.00;493.00;14.73
BRISONr_184;QLB;B1;82.00;47.14;391.36;1210.72;26.23;32.00;496.00;61.00;358.00;14.23
BRISONr_185;QLB;B1;74.00;53.48;458.64;1392.56;27.06;29.87;612.00;35.00;130.00;12.64
BRISONr_186;QLB;B1;70.00;41.29;344.64;1155.20;24.83;25.98;568.00;38.00;226.00;13.26
BRISONr_187;QLB;B1;94.00;38.50;390.00;1488.24;20.36;22.70;484.00;44.00;397.00;13.96
BRISONr_188;QLB;B1;80.00;51.81;472.00;1431.20;29.13;32.57;432.00;48.00;335.00;14.63
BRISONr_189;QLB;B1;70.00;58.90;420.48;1300.00;27.75;28.20;708.00;50.00;466.00;14.79
BRISONr_190;QLB;B1;69.00;37.38;302.08;1172.72;24.54;29.87;472.00;38.00;159.00;14.47
BRISONr_191;QLB;B1;79.00;55.49;492.88;1434.40;27.03;27.93;548.00;37.00;129.00;13.26
BRISONr_192;QLB;B1;86.00;48.57;444.16;1419.44;21.96;23.27;616.00;35.00;218.00;13.61
BRISONr_193;QLB;B1;74.00;51.18;443.20;1540.24;26.14;29.13;828.00;50.00;75.00;15.67
BRISONr_194;QLB;B1;87.00;34.66;247.12;829.68;25.52;31.90;512.00;49.00;254.00;14.74
BRISONr_195;QLB;B1;73.00;44.42;368.96;1219.44;30.90;33.93;424.00;45.00;106.00;15.15
BRISONr_196;QLB;B1;70.00;15.27;112.08;729.92;20.49;20.00;404.00;34.00;175.00;12.27
BRISONr_197;QLB;B1;81.00;35.03;318.56;1336.00;27.58;32.03;516.00;40.00;211.00;13.83
BRISONr_198;QLB;B1;84.00;43.43;412.96;1378.80;29.76;29.93;568.00;32.00;62.00;14.53
BRISONr_199;QLB;B1;85.00;67.67;481.68;1237.28;27.43;32.90;412.00;42.00;197.00;14.98
BRISONr_200;QLB;B1;82.00;38.26;404.72;1490.48;22.33;26.53;512.00;36.00;394.00;12.43
BRISONr_201;QLB;B1;79.00;27.61;234.16;1211.20;19.98;20.53;592.00;32.00;128.00;14.10
BRISONr_202;QLB;B1;77.00;61.41;487.36;1465.12;31.07;32.00;580.00;50.00;191.00;14.06
BRISONr_203;QLB;B1;79.00;32.18;277.36;1109.04;33.51;39.37;468.00;54.00;322.00;14.63
BRISONr_204;QLB;B1;78.00;56.25;498.32;1567.68;25.48;28.97;620.00;48.00;263.00;15.53
BRISONr_205;QLB;B1;90.00;47.02;371.52;1323.84;23.37;22.53;632.00;47.00;297.00;14.87
BRISONr_206;QLB;B1;99.00;29.02;329.20;1342.32;27.52;29.23;;44.00;299.00;13.03
BRISONr_207;QLB;B1;80.00;59.04;511.20;1510.16;27.69;33.33;492.00;56.00;297.00;16.21
BRISONr_208;QLB;B1;85.00;53.17;459.68;1428.72;31.88;37.87;568.00;56.00;365.00;15.66
BRISONr_209;QLB;B1;71.00;44.23;382.56;1097.60;27.35;30.87;572.00;54.00;398.00;14.59
BRISONr_210;QLB;B1;83.00;28.17;276.32;1021.04;34.03;39.93;424.00;47.00;176.00;14.16
BRISONr_211;QLB;B1;72.00;46.48;410.08;1224.96;24.88;28.00;612.00;51.00;207.00;14.77
BRISONr_212;QLB;B1;85.00;26.31;257.60;982.64;23.28;28.00;420.00;30.00;414.00;13.19
BRISONr_213;QLB;B1;72.00;46.80;400.80;1283.36;32.42;33.67;572.00;50.00;245.00;15.01
BRISONr_214;QLB;B1;78.00;58.99;483.04;1435.68;27.35;27.13;692.00;46.00;251.00;14.99
